empresa,site,localidade,servico_relevante,motivo,fonte,tipo,estimado_valor,prioridade
"FDA - NextGen Cyber Engineering, Operations AI",https://sam.gov/workspace/contract/opp/f09034fca4234513a25a5d8e2f9b82f7/view,"Silver Spring, MD, USA (FDA/HHS)","Cybersecurity Engineering, AI Operations, Cloud Security",Sources Sought for next-gen cyber engineering + AI operations at FDA. High-impact federal health agency. Cloud security and AI ops align with Zion services.,SAM.gov (2026),government_rfp,Not disclosed,media
IRS - Small Business IT/ Cloud BPA,https://www.ostglobalsolutions.com/exclusive-small-business-irs-contract-broaden-your-it-footprint/,"Washington DC, USA (IRS/Federal)","Cloud Migration, IT Support, Cybersecurity",Exclusive small business BPA for IRS IT work including cloud migration. Reserved for small businesses. Strong fit for Zion's cloud + cybersecurity services.,OSTG (2026),government_bpa,Not disclosed (BPA),alta
City of Cabot - Cloud Migration RFP (Starbridge),https://www.google.com/search?q=City+of+Cabot+Arkansas+cloud+migration+RFP+2026,"Cabot, AR, USA (Municipal)","Cloud Migration, IT Consulting",Municipal cloud migration RFP identified in prior session. Smaller government entity = less competition. Starbridge referenced as potential partner. High close probability for SMB-focused Zion.,Prior session web search (2026),government_rfp,Small municipal contract,alta
"Council Bluffs, IA - IT Services RFP",https://www.google.com/search?q=Council+Bluffs+Iowa+IT+services+RFP+2026,"Council Bluffs, IA, USA (Municipal)","IT Managed Services, Cloud, Cybersecurity",Municipal IT services RFP identified in prior session. Smaller city = approachable. Managed services + cloud migration align with core Zion offerings.,Prior session web search (2026),government_rfp,Small municipal contract,alta
CFPB - Cybersecurity BPA,https://www.google.com/search?q=CFPB+cybersecurity+BPA+2026,"Washington DC, USA (Federal Financial)","Cybersecurity, Managed Security, Compliance",Consumer Financial Protection Bureau cybersecurity BPA. Federal financial regulator = high-value cybersecurity client. Found in prior session. Potential subcontracting opportunity.,Prior session web search (2026),government_bpa,Federal BPA (multi-year),media
Beep Saúde,https://beep.saude.com.br,"São Paulo, SP, Brasil","AI Data Pipeline, Document OCR, Chatbots, Cloud Migration","Health tech startup. Digital health platform needing AI data pipelines, patient document OCR, chatbot for patient engagement, and cloud infrastructure. High growth = scaling IT needs.","Web search (beep.saude.com.br), prior session",company_brazil,Startup (Series A/B range),alta
Bliss Health,https://bliss.health,"São Paulo, SP, Brasil","AI Data Pipeline, Chatbots, Document OCR, Cloud Migration","Health/wellness platform. Digital health services needing patient data pipelines, chatbot for user engagement, document processing, and cloud infrastructure. Health vertical = strong AI + compliance needs.","Web search (bliss.health), prior session",company_brazil,Startup/Scale-up,alta
Prodam SP (Governo do Estado),https://www.prodam.sp.gov.br,"São Paulo, SP, Brasil (Governo Estadual)","Cloud Migration, Cybersecurity, AI Services, Document OCR, IT Consulting","State government IT department. Digital transformation of Sao Paulo state systems. massive document processing (OCR), citizen chatbots, cloud migration of legacy systems, cybersecurity hardening. Government = stable contracts.","Web search (prodam.sp.gov.br), prior session",government_brazil,State government (large),alta
Natura,https://www.natura.com,"São Paulo, SP, Brasil","AI Data Pipeline, Cloud Migration, Cybersecurity, QA Automation","Major Brazilian cosmetics company undergoing digital transformation. Supply chain data pipelines, e-commerce cloud, security for customer data, QA for digital platforms. Large enterprise with budget.","Web search (natura.com), prior session",company_brazil,Large enterprise (multinational),media
Conta Azul,https://www.contaazul.com,"São Paulo, SP, Brasil","AI Data Pipeline, QA Automation, Chatbots, Document OCR","Accounting/ERP SaaS for SMBs. Needs AI data pipeline for financial analytics, QA automation for continuous deployment, chatbot for customer support, OCR for receipt/invoice processing. High-volume transactional data.","Web search (contaazul.com), prior session",company_brazil,Venture-backed SaaS (Series C+),alta
Neurosia,https://www.goodfirms.co/company/neurosia,Brasil (AI consulting),"AI Data Pipeline, AI Services Partnership, Chatbots","AI consulting firm building AI agents, RAG, predictive analytics, computer vision. Potential partner for Zion's AI services or client for end-to-end AI pipeline infrastructure. Complementary not competitive.",GoodFirms web search (2026),agency_brazil,AI consulting firm,media
Red Lotus Tecnologia,https://www.goodfirms.co/company/red-lotus-tecnologia,Brasil (IT consulting),"IT Consulting, Cloud Migration, QA Automation",Brazilian IT consultancy offering digital transformation. Could be partner for shared clients or client for overflow work. Process improvement + technology overhaul focus.,GoodFirms web search (2026),agency_brazil,IT consulting firm,media
SCM Gestão,https://www.goodfirms.co/company/scm-gestao,Brasil (BI/BPM consulting for ISPs),"AI Data Pipeline, AI Consulting, QA Automation",Brazilian BI/BPM consultancy serving ISPs. AI tools for business intelligence. Potential client for AI data pipeline services or partner for telecom sector opportunities.,GoodFirms web search (2026),company_brazil,Niche consultancy (ISPs),media
Starbridge (City of Cabot Cloud Migration Partner),https://www.google.com/search?q=starbridge+cloud+migration+arkansas,USA (likely AR/Louisiana region),"Cloud Migration, IT Consulting, Subcontracting",Referenced in City of Cabot cloud migration RFP. Could be prime contractor seeking subcontractors for cloud migration work. Subcontracting opportunity for Zion's cloud services.,Prior session web search + RFP analysis,company_usa,Regional IT services firm,alta
AI Automation Agency (UK),https://www.google.com/search?q=AI+automation+agency+UK+services+2026,United Kingdom,"AI Automation, Chatbots, Workflow Automation, Partnership",UK-based AI automation agency identified in prior session. Potential partner for UK/EU clients or client for automation services. AI automation is Zion's core strength.,Prior session web search (2026),company_international,AI automation agency,media
Agency AI Solutions,https://www.google.com/search?q=agency+AI+solutions+US+2026,USA,"AI Services, Chatbots, AI Data Pipeline, Partnership",AI solutions agency identified in prior session. Potential partner or client for Zion's AI service offerings. AI agency market growing rapidly.,Prior session web search (2026),company_usa,AI solutions agency,media
Xovak Studio,https://xovakstudio.com,"USA (Web agency, white-label focus)","White-label Development Partner, AI Services, QA Automation","Top white-label agency partner for 2026. Offers custom web/enterprise software. Could be partner for Zion to provide AI/QA services under their brand, or client needing AI capabilities they don't have in-house.",Web search (xovakstudio.com white label 2026),agency_usa,White-label dev agency,alta
Krishang Technolab,https://www.krishangtechnolab.com,India / Global (White-label agency),"White-label Services, AI, QA Automation, Chatbots",Full-service white label agency. Could subcontract AI/data/QA work to Zion. Digital agencies actively seek white-label partners for AI capabilities they can't build in-house.,Web search (krishangtechnolab.com white label),agency_international,White-label agency,media
DoodleWeb,https://doodleweb.io,USA (White-label web build partner),"White-label Partner for Primes, AI Services, QA","White-label web build partner for agencies and prime contractors. Prime contractors need AI/QA/cybersecurity subs. DoodleWeb model = they sell, partners build. Zion could provide AI services under their brand.",Web search (doodleweb.io white label prime contractors),agency_usa,White-label dev partner,media
Allusivedigital,https://allusivedigital.com,"USA (Digital agency, white-label focus)","White-label Web Dev Partner, AI Services, QA Automation",Digital agency scaling with white-label web development partner model. Could expand into AI services via partnership with Zion. Agency wants to offer AI without building it in-house.,Web search (allusivedigital.com white label 2026),agency_usa,Digital agency,media
Taskip,https://taskip.net,USA/Global (White-label services),"White-label Services, AI, QA, Chatbots",White-label services agency with 2026 strategy guide. Agencies looking to productize and offer AI/QA as white-label. Zion could be their AI/ML backend partner.,Web search (taskip.net white label 2026),agency_usa,White-label services agency,media
n8n-io (n8n Workflow Automation),https://github.com/n8n-io/n8n,Germany/Remote (Open-source workflow automation),"AI Automation, Workflow Automation, Chatbots, QA Automation","203k stars. Leading open-source workflow automation platform with native AI. Their users need implementation, customization, enterprise integration - all Zion services. Ecosystem partner or implementation services opportunity.","GitHub Lead Discovery (n8n-io/n8n, 203k stars)",github_repo,Open-source platform (commercial support),media
Activepieces (Open-source Automation),https://github.com/activepieces/activepieces,Remote/Global (Open-source),"AI Automation, Workflow Automation, Chatbots, QA Automation",30k stars. Open-source AI agent & automation platform with 400+ MCP servers. Growing ecosystem needs implementation partners. Similar to n8n - automation platform user base = service opportunity.,"GitHub Lead Discovery (activepieces/activepieces, 24k stars)",github_repo,Open-source platform (commercial support),media
Prefect Technologies (Prefect Workflow Orchestration),https://github.com/PrefectHQ/prefect,USA/Remote (Data orchestration),"AI Data Pipeline, QA Automation, Cloud Migration","24k stars. Python workflow orchestration for data pipelines. Their users build data pipelines that need QA, production hardening, cloud deployment. Prefect + Zion = data pipeline implementation services.","GitHub Lead Discovery (PrefectHQ/prefect, 24k stars)",github_repo,Open-source data platform (SaaS commercial),media
Vector (Observability Data Pipeline),https://github.com/vectordotdev/vector,USA/Remote (Data pipeline),"AI Data Pipeline, Cloud Migration, QA Automation","22.5k stars. High-performance observability data pipeline. Users need deployment, integration, and optimization services. Data pipeline expertise aligns directly with Zion's AI data pipeline service.","GitHub Lead Discovery (vectordotdev/vector, 22.5k stars)",github_repo,Open-source data pipeline (commercial support),media
Orchest (Data Pipeline Platform),https://github.com/orchest/orchest,Netherlands/Remote (Data science platform),"AI Data Pipeline, QA Automation, Cloud Migration","4k stars. Build data pipelines the easy way. Data science/orchestration platform. Users need production deployment, cloud migration, and QA for their data pipelines.","GitHub Lead Discovery (orchest/orchest, 4k stars)",github_repo,Open-source data platform,baixa
Entech (Cloud Migration for Mid-Sized Firms),https://www.entechus.com,"Florida, USA","Cloud Migration, IT Consulting, Cybersecurity",Cloud migration services for mid-sized firms. Florida-focused. Mid-market = Zion's sweet spot. Could be competitive intel or partnership opportunity depending on service overlap.,Web search (entechus.com cloud migration mid-sized 2026),company_usa,Regional IT/cloud services,baixa
Wildlife Studios,https://wildlifestudios.com.br,"São Paulo, SP, Brasil","Video/Audio AI, AI Data Pipeline, QA Automation","Brazilian video/game production studio. Needs video/audio AI for content analysis, automated editing, QA for games/apps, and data pipelines for player analytics. Creative tech = video/audio AI service fit.","Web search (wildlifestudios.com.br), prior session",company_brazil,Game/video production studio,media
Radix,https://www.radix.com.br,"São Paulo, SP, Brasil","IoT Edge, AI Data Pipeline, Cybersecurity, Cloud Migration","Brazilian technology company (deep tech / engineering). Likely works with industrial IoT, embedded systems. IoT edge computing + AI data pipeline + cybersecurity for connected devices = strong fit.","Web search (radix.com.br), prior session",company_brazil,Deep tech/engineering firm,media
